image path,green_players alive,green_ability_count,green_ult_points,green_ults,red_players_alive,red_ability_count,red_ult_points,red_ults,green_win
output/screenshots\1718764598.712018.png,6,4,0,0,7,4,0,0,1
output/screenshots\1718764599.3331702.png,7,4,0,0,7,4,0,0,1
output/screenshots\1718764599.9378798.png,7,4,0,0,6,4,0,0,1
output/screenshots\1718764607.454088.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764608.0859795.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764608.7091637.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764609.5357618.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764610.3622537.png,5,8,0,0,7,8,0,0,1
output/screenshots\1718764611.1865816.png,5,7,0,0,8,7,0,0,1
output/screenshots\1718764611.9339302.png,5,7,0,0,6,7,0,0,1
output/screenshots\1718764612.6970155.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764613.5401578.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764614.406816.png,5,6,0,0,5,6,0,0,1
output/screenshots\1718764615.2485976.png,5,7,0,0,5,7,0,0,1
output/screenshots\1718764616.0418437.png,5,6,0,0,5,6,0,0,1
output/screenshots\1718764616.778441.png,5,5,0,0,5,5,0,0,1
output/screenshots\1718764617.5857093.png,5,5,0,0,5,5,0,0,1
output/screenshots\1718764618.3797877.png,5,5,0,0,5,5,0,0,1
output/screenshots\1718764619.1410198.png,5,5,0,0,6,5,0,0,1
output/screenshots\1718764619.9113538.png,5,6,0,0,5,6,0,0,1
output/screenshots\1718764620.6575096.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764621.4271314.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764622.1997173.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764622.9569206.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764623.7056758.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764624.448767.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764625.2184734.png,5,5,1,0,5,5,1,0,1
output/screenshots\1718764626.0196214.png,5,5,1,0,7,5,1,0,1
output/screenshots\1718764626.7754838.png,5,5,1,0,5,5,1,0,1
output/screenshots\1718764627.536924.png,5,5,1,0,4,5,1,0,1
output/screenshots\1718764628.3397875.png,5,4,1,0,4,4,1,0,1
output/screenshots\1718764629.0913565.png,5,4,1,0,4,4,1,0,1
output/screenshots\1718764629.8797104.png,5,4,1,0,4,4,1,0,1
output/screenshots\1718764630.8162687.png,5,3,1,0,7,3,1,0,1
output/screenshots\1718764631.6326604.png,5,4,1,0,6,4,1,0,1
output/screenshots\1718764632.499307.png,5,4,1,0,5,4,1,0,1
output/screenshots\1718764633.3007548.png,5,2,1,0,5,2,1,0,1
output/screenshots\1718764634.1417723.png,5,2,1,0,5,2,1,0,1
output/screenshots\1718764634.9365652.png,5,3,1,0,12,3,1,0,1
output/screenshots\1718764635.7485301.png,8,1,0,0,6,1,0,0,1
output/screenshots\1718764636.5610907.png,5,1,2,0,3,1,2,0,1
output/screenshots\1718764637.2821846.png,5,1,2,0,3,1,2,0,1
output/screenshots\1718764638.0714188.png,5,2,2,0,3,2,2,0,1
output/screenshots\1718764638.8237846.png,5,3,3,0,5,3,3,0,1
output/screenshots\1718764639.5922432.png,5,2,3,0,2,2,3,0,1
output/screenshots\1718764640.3713331.png,5,1,3,0,2,1,3,0,1
output/screenshots\1718764641.1340485.png,5,1,3,0,2,1,3,0,1
output/screenshots\1718764641.9416764.png,5,1,3,0,1,1,3,0,1
output/screenshots\1718764642.6789331.png,5,2,4,0,1,2,4,0,1
output/screenshots\1718764643.4022074.png,5,0,4,0,1,0,4,0,1
output/screenshots\1718764644.1158557.png,5,0,4,0,1,0,4,0,1
output/screenshots\1718764644.9038298.png,5,0,4,0,1,0,4,0,1
output/screenshots\1718764645.6417.png,5,0,4,0,1,0,4,0,1
output/screenshots\1718764646.3516426.png,4,1,1,0,1,1,1,0,1
output/screenshots\1718764647.120267.png,4,1,1,0,1,1,1,0,1
output/screenshots\1718764647.9283361.png,4,0,1,0,6,0,1,0,1
output/screenshots\1718764648.6567109.png,4,0,2,0,0,0,2,0,1
output/screenshots\1718764649.3544455.png,4,0,2,0,0,0,2,0,1
output/screenshots\1718764650.0919027.png,4,1,2,0,0,1,2,0,1
output/screenshots\1718764691.518302.png,5,15,7,0,5,15,7,0,1
output/screenshots\1718764692.157752.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764692.7738712.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764693.53289.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764694.2709463.png,5,14,7,0,5,14,7,0,1
output/screenshots\1718764695.0862262.png,5,14,7,0,5,14,7,0,1
